name,salary_from,salary_to,salary_currency,area_name,published_at
Монтажник связи,45000,,RUR,Кемерово,2022-12-27T06:29:58+0300
Ведущий программист 1С,120000,200000,RUR,Новосибирск,2022-12-27T06:36:29+0300
Фрезеровщик,50000,,RUR,Омск,2022-12-27T06:09:02+0300
Токарь,50000,70000,RUR,Омск,2022-12-27T06:09:08+0300
Ведущий инженер,70000,130000,RUR,Омск,2022-12-27T06:10:29+0300
"Инженер-программист FPGA/ПЛИС, FPGA developer",90000,160000,RUR,Омск,2022-12-27T06:10:05+0300
Ведущий инженер-программист,100000,170000,RUR,Омск,2022-12-27T06:10:22+0300
Механик,35000,40000,RUR,Омск,2022-12-27T06:10:11+0300
Рабочий по комплексному обслуживанию зданий,31800,,RUR,Санкт-Петербург,2022-12-27T06:59:51+0300
Специалист сервисного центра (Кирова),45000,53000,RUR,Якутск,2022-12-27T06:57:08+0300
Системный администратор 1С,37000,37000,RUR,Омск,2022-12-27T06:51:45+0300
Администратор 1С-Битрикс,63200,63200,RUR,Новокузнецк,2022-12-27T06:34:54+0300
Теплотехник,75000,85000,RUR,Новосибирск,2022-12-27T06:00:04+0300
Ведущий инженер-разработчик,90000,120000,RUR,Омск,2022-12-27T06:10:18+0300
Разработчик 1С,120000,,RUR,Барнаул,2022-12-27T06:02:58+0300
Ведущий инженер-программист,90000,150000,RUR,Омск,2022-12-27T06:10:25+0300
Программист 1С УПП,160000,,RUR,Новосибирск,2022-12-27T06:05:00+0300
Токарь-револьверщик,50000,,RUR,Омск,2022-12-27T06:09:05+0300
Станочник широкого профиля,40000,,RUR,Тюмень,2022-12-27T06:46:44+0300
Инженер по ремонту,60000,,RUR,Тюмень,2022-12-27T06:21:39+0300
Выездной мастер по ремонту и подключению бытовой техники,38000,80000,RUR,Чита,2022-12-27T06:57:03+0300
Специалист по входящим звонкам (консультант),,42000,RUR,Челябинск,2022-12-27T06:58:06+0300
Project manager,400000,,KZT,Алматы,2022-12-27T06:58:35+0300
Программист 1С Документооборот сектора автоматизации учета,,150000,RUR,Тюмень,2022-12-27T06:47:13+0300
Ведущий сервисный инженер по ремонту производственного оборудования,,50000,RUR,Новосибирск,2022-12-27T06:14:36+0300
Специалист сервисного центра,50000,70000,RUR,Норильск,2022-12-27T06:58:15+0300
Мастер по ремонту цифровой техники,70000,120000,RUR,Норильск,2022-12-27T06:57:53+0300
Мастер по ремонту бытовой техники,70000,,RUR,Норильск,2022-12-27T06:57:12+0300
Разработчик 1С,,200000,RUR,Москва,2022-12-27T06:45:00+0300
Старший технический специалист,60000,,RUR,Красноярск,2022-12-27T06:54:45+0300
Программист 1С ERP сектора автоматизации учета,,150000,RUR,Тюмень,2022-12-27T06:46:25+0300
Кодер,,10000,RUR,Пермь,2022-12-27T07:22:35+0300
Дизайнер,50000,,RUR,Новосибирск,2022-12-27T07:59:41+0300
Механик на производство,50000,,RUR,Самара,2022-12-27T07:54:47+0300
Инженер-программист,50000,55000,RUR,Кемерово,2022-12-27T07:19:15+0300
Инженер технической поддержки,,270000,KZT,Астана,2022-12-27T07:15:06+0300
